date,store,item,sales,price,promotion,holiday,temperature
2023-01-01,Store_A,Item_1,182,49.72,0,0,26.0
2023-01-01,Store_A,Item_2,228,59.52,0,0,26.0
2023-01-01,Store_A,Item_3,205,64.07,0,0,25.6
2023-01-01,Store_A,Item_4,277,69.45,0,0,24.5
2023-01-01,Store_A,Item_5,394,79.55,0,0,27.0
2023-01-01,Store_B,Item_1,215,53.97,0,0,25.0
2023-01-01,Store_B,Item_2,247,66.2,0,0,24.5
2023-01-01,Store_B,Item_3,295,70.78,0,0,22.9
2023-01-01,Store_B,Item_4,325,77.89,0,0,24.7
2023-01-01,Store_B,Item_5,338,81.83,0,0,25.2
2023-01-01,Store_C,Item_1,214,43.97,0,0,26.4
2023-01-01,Store_C,Item_2,239,56.51,1,0,25.7
2023-01-01,Store_C,Item_3,255,64.45,0,0,25.1
2023-01-01,Store_C,Item_4,288,68.2,0,0,27.3
2023-01-01,Store_C,Item_5,357,76.21,0,0,25.8
2023-01-02,Store_A,Item_1,192,48.16,0,0,28.3
2023-01-02,Store_A,Item_2,207,53.52,0,0,23.9
2023-01-02,Store_A,Item_3,260,66.49,1,0,24.0
2023-01-02,Store_A,Item_4,314,73.16,0,0,26.4
2023-01-02,Store_A,Item_5,300,81.35,0,0,23.5
2023-01-02,Store_B,Item_1,174,55.52,1,0,25.9
2023-01-02,Store_B,Item_2,236,61.92,0,0,25.3
2023-01-02,Store_B,Item_3,270,70.35,0,0,25.5
2023-01-02,Store_B,Item_4,332,75.51,1,0,26.7
2023-01-02,Store_B,Item_5,339,85.6,0,0,25.1
2023-01-02,Store_C,Item_1,200,45.2,0,0,25.1
2023-01-02,Store_C,Item_2,188,52.2,0,0,26.8
2023-01-02,Store_C,Item_3,243,64.35,0,0,24.3
2023-01-02,Store_C,Item_4,284,70.14,0,0,22.8
2023-01-02,Store_C,Item_5,281,77.18,0,0,25.6
2023-01-03,Store_A,Item_1,225,47.54,0,0,28.8
2023-01-03,Store_A,Item_2,227,57.09,0,0,25.9
2023-01-03,Store_A,Item_3,266,62.36,0,0,25.4
2023-01-03,Store_A,Item_4,318,74.19,1,0,24.9
2023-01-03,Store_A,Item_5,329,80.95,0,0,26.3
2023-01-03,Store_B,Item_1,235,52.74,0,0,25.1
2023-01-03,Store_B,Item_2,206,66.29,0,0,25.5
2023-01-03,Store_B,Item_3,271,69.52,0,0,27.7
2023-01-03,Store_B,Item_4,276,82.94,0,0,26.1
2023-01-03,Store_B,Item_5,325,84.73,0,0,26.2
2023-01-03,Store_C,Item_1,169,47.35,0,0,26.7
2023-01-03,Store_C,Item_2,216,54.32,0,0,25.2
2023-01-03,Store_C,Item_3,246,63.27,0,0,24.8
2023-01-03,Store_C,Item_4,298,70.1,0,0,27.5
2023-01-03,Store_C,Item_5,308,75.62,0,0,24.3
2023-01-04,Store_A,Item_1,205,51.74,0,0,26.7
2023-01-04,Store_A,Item_2,192,58.8,0,0,25.0
2023-01-04,Store_A,Item_3,339,63.29,1,0,23.8
2023-01-04,Store_A,Item_4,289,69.27,1,0,25.9
2023-01-04,Store_A,Item_5,293,80.26,0,0,27.3
2023-01-04,Store_B,Item_1,245,53.7,0,0,26.4
2023-01-04,Store_B,Item_2,224,63.38,0,0,26.4
2023-01-04,Store_B,Item_3,282,69.77,1,0,26.4
2023-01-04,Store_B,Item_4,345,76.86,0,0,25.6
2023-01-04,Store_B,Item_5,340,86.84,0,0,25.9
2023-01-04,Store_C,Item_1,213,51.19,0,0,23.5
2023-01-04,Store_C,Item_2,210,56.55,0,0,25.1
2023-01-04,Store_C,Item_3,282,62.29,0,0,22.8
2023-01-04,Store_C,Item_4,272,70.26,0,0,27.5
2023-01-04,Store_C,Item_5,306,79.32,0,0,25.4
2023-01-05,Store_A,Item_1,144,49.23,0,0,27.0
2023-01-05,Store_A,Item_2,217,61.72,0,0,25.7
2023-01-05,Store_A,Item_3,303,63.75,1,0,25.5
2023-01-05,Store_A,Item_4,304,71.79,0,0,25.4
2023-01-05,Store_A,Item_5,325,81.26,0,0,25.8
2023-01-05,Store_B,Item_1,225,52.56,0,0,23.7
2023-01-05,Store_B,Item_2,231,64.7,0,0,25.7
2023-01-05,Store_B,Item_3,288,71.86,0,0,25.4
2023-01-05,Store_B,Item_4,349,77.24,0,0,27.1
2023-01-05,Store_B,Item_5,360,84.11,0,0,24.7
2023-01-05,Store_C,Item_1,164,48.76,0,0,26.3
2023-01-05,Store_C,Item_2,191,58.54,0,0,23.3
2023-01-05,Store_C,Item_3,230,61.37,0,0,26.3
2023-01-05,Store_C,Item_4,235,71.75,0,0,24.8
2023-01-05,Store_C,Item_5,250,77.07,0,0,26.5
2023-01-06,Store_A,Item_1,200,49.99,0,0,24.7
2023-01-06,Store_A,Item_2,185,60.57,0,0,25.5
2023-01-06,Store_A,Item_3,257,65.92,0,0,25.5
2023-01-06,Store_A,Item_4,338,70.95,0,0,26.3
2023-01-06,Store_A,Item_5,333,83.72,0,0,25.6
2023-01-06,Store_B,Item_1,208,53.38,0,0,26.7
2023-01-06,Store_B,Item_2,280,58.88,1,0,28.7
2023-01-06,Store_B,Item_3,290,68.85,0,0,28.3
2023-01-06,Store_B,Item_4,331,77.24,0,0,26.1
2023-01-06,Store_B,Item_5,338,87.71,0,0,24.4
2023-01-06,Store_C,Item_1,182,45.7,0,0,23.4
2023-01-06,Store_C,Item_2,177,56.25,0,0,25.9
2023-01-06,Store_C,Item_3,250,65.58,0,0,26.1
2023-01-06,Store_C,Item_4,276,70.23,0,0,28.5
2023-01-06,Store_C,Item_5,318,77.83,0,0,28.2
2023-01-07,Store_A,Item_1,169,51.37,0,0,26.4
2023-01-07,Store_A,Item_2,279,57.23,0,0,26.9
2023-01-07,Store_A,Item_3,272,62.24,0,0,28.4
2023-01-07,Store_A,Item_4,250,69.17,0,0,25.6
2023-01-07,Store_A,Item_5,334,81.34,1,0,25.1
2023-01-07,Store_B,Item_1,207,54.42,0,0,27.2
2023-01-07,Store_B,Item_2,226,60.91,0,0,25.2
2023-01-07,Store_B,Item_3,274,65.43,0,0,26.2
2023-01-07,Store_B,Item_4,303,77.06,0,0,26.4
2023-01-07,Store_B,Item_5,314,82.54,0,0,26.8
2023-01-07,Store_C,Item_1,253,47.0,1,0,26.6
2023-01-07,Store_C,Item_2,229,56.94,0,0,25.0
2023-01-07,Store_C,Item_3,257,62.91,0,0,24.3
2023-01-07,Store_C,Item_4,334,68.69,0,0,25.8
2023-01-07,Store_C,Item_5,381,80.46,0,0,27.0
2023-01-08,Store_A,Item_1,190,53.16,0,0,24.3
2023-01-08,Store_A,Item_2,243,61.32,0,0,27.2
2023-01-08,Store_A,Item_3,256,64.52,0,0,25.2
2023-01-08,Store_A,Item_4,240,70.77,0,0,26.2
2023-01-08,Store_A,Item_5,318,79.83,0,0,27.2
2023-01-08,Store_B,Item_1,283,53.04,0,0,28.2
2023-01-08,Store_B,Item_2,243,60.98,0,0,25.2
2023-01-08,Store_B,Item_3,254,70.1,0,0,25.3
2023-01-08,Store_B,Item_4,306,78.04,0,0,25.0
2023-01-08,Store_B,Item_5,367,84.23,1,0,26.0
2023-01-08,Store_C,Item_1,140,49.04,0,0,26.4
2023-01-08,Store_C,Item_2,236,54.59,0,0,26.8
2023-01-08,Store_C,Item_3,271,65.66,0,0,26.2
2023-01-08,Store_C,Item_4,306,69.13,0,0,26.6
2023-01-08,Store_C,Item_5,352,78.22,0,0,23.5
2023-01-09,Store_A,Item_1,219,47.98,0,0,23.4
2023-01-09,Store_A,Item_2,243,57.53,0,0,22.4
2023-01-09,Store_A,Item_3,257,66.54,0,0,27.0
2023-01-09,Store_A,Item_4,298,71.7,0,0,27.6
2023-01-09,Store_A,Item_5,285,80.5,0,0,25.6
2023-01-09,Store_B,Item_1,239,55.8,0,0,27.2
2023-01-09,Store_B,Item_2,232,60.54,0,0,25.4
2023-01-09,Store_B,Item_3,283,71.95,0,0,29.1
2023-01-09,Store_B,Item_4,307,75.01,0,0,26.3
2023-01-09,Store_B,Item_5,340,80.35,0,0,24.2
2023-01-09,Store_C,Item_1,257,47.76,1,0,29.3
2023-01-09,Store_C,Item_2,260,55.88,0,0,27.8
2023-01-09,Store_C,Item_3,240,61.48,0,0,28.6
2023-01-09,Store_C,Item_4,269,71.05,0,0,28.3
2023-01-09,Store_C,Item_5,297,74.19,0,0,25.8
2023-01-10,Store_A,Item_1,186,48.36,0,0,26.1
2023-01-10,Store_A,Item_2,243,56.95,0,0,26.0
2023-01-10,Store_A,Item_3,246,61.31,0,0,26.3
2023-01-10,Store_A,Item_4,293,72.62,1,0,29.6
2023-01-10,Store_A,Item_5,312,80.31,0,0,25.7
2023-01-10,Store_B,Item_1,248,55.21,0,0,23.0
2023-01-10,Store_B,Item_2,234,60.02,0,0,23.9
2023-01-10,Store_B,Item_3,264,68.44,0,0,24.9
2023-01-10,Store_B,Item_4,321,75.95,0,0,25.7
2023-01-10,Store_B,Item_5,324,85.98,0,0,25.6
2023-01-10,Store_C,Item_1,174,45.62,0,0,28.3
2023-01-10,Store_C,Item_2,171,56.23,0,0,27.1
2023-01-10,Store_C,Item_3,204,60.87,0,0,25.7
2023-01-10,Store_C,Item_4,229,73.51,0,0,24.5
2023-01-10,Store_C,Item_5,294,77.44,0,0,27.3
2023-01-11,Store_A,Item_1,178,46.58,0,0,26.4
2023-01-11,Store_A,Item_2,228,57.7,0,0,24.2
2023-01-11,Store_A,Item_3,242,61.59,0,0,27.4
2023-01-11,Store_A,Item_4,237,75.64,0,0,26.8
2023-01-11,Store_A,Item_5,305,80.05,0,0,26.1
2023-01-11,Store_B,Item_1,190,56.16,0,0,23.7
2023-01-11,Store_B,Item_2,295,64.61,0,0,25.2
2023-01-11,Store_B,Item_3,259,70.36,0,0,26.7
2023-01-11,Store_B,Item_4,294,77.31,0,0,29.3
2023-01-11,Store_B,Item_5,318,84.33,0,0,28.5
2023-01-11,Store_C,Item_1,156,46.38,0,0,28.1
2023-01-11,Store_C,Item_2,211,57.29,0,0,25.4
2023-01-11,Store_C,Item_3,264,59.83,0,0,27.3
2023-01-11,Store_C,Item_4,272,72.12,0,0,26.1
2023-01-11,Store_C,Item_5,324,77.92,0,0,27.1
2023-01-12,Store_A,Item_1,193,49.57,0,0,27.8
2023-01-12,Store_A,Item_2,188,57.56,0,0,27.2
2023-01-12,Store_A,Item_3,249,67.56,0,0,25.2
2023-01-12,Store_A,Item_4,305,72.89,0,0,28.4
2023-01-12,Store_A,Item_5,346,81.17,1,0,26.4
2023-01-12,Store_B,Item_1,237,57.82,0,0,26.4
2023-01-12,Store_B,Item_2,233,58.98,0,0,24.7
2023-01-12,Store_B,Item_3,225,68.16,0,0,24.1
2023-01-12,Store_B,Item_4,328,78.87,0,0,25.4
2023-01-12,Store_B,Item_5,363,86.35,0,0,28.2
2023-01-12,Store_C,Item_1,168,47.65,0,0,24.5
2023-01-12,Store_C,Item_2,234,57.38,1,0,24.8
2023-01-12,Store_C,Item_3,230,64.6,0,0,28.1
2023-01-12,Store_C,Item_4,253,66.97,0,0,27.0
2023-01-12,Store_C,Item_5,311,78.67,0,0,26.6
2023-01-13,Store_A,Item_1,150,54.02,0,0,26.2
2023-01-13,Store_A,Item_2,211,55.6,0,0,27.9
2023-01-13,Store_A,Item_3,284,67.38,0,0,27.1
2023-01-13,Store_A,Item_4,299,70.24,0,0,27.7
2023-01-13,Store_A,Item_5,324,82.22,0,0,28.1
2023-01-13,Store_B,Item_1,248,56.71,0,0,27.9
2023-01-13,Store_B,Item_2,227,62.79,0,0,27.1
